"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"19-Feb-2024","EQ","1,069.00","1,070.00","1,060.10","1,068.75","1,064.35","1,062.95","1,064.53","1,151.85","814.30","75,62,645","8,05,06,29,517.55","1,63,537"
"16-Feb-2024","EQ","1,073.00","1,076.00","1,058.00","1,072.20","1,068.00","1,068.75","1,067.11","1,151.85","814.30","86,60,907","9,24,21,08,048.20","2,10,198"
"15-Feb-2024","EQ","1,097.50","1,097.55","1,069.25","1,096.85","1,074.75","1,072.20","1,078.80","1,151.85","814.30","1,17,80,823","12,70,92,03,876.50","2,55,813"
"14-Feb-2024","EQ","1,061.30","1,100.90","1,060.55","1,070.75","1,097.00","1,096.85","1,082.95","1,151.85","814.30","1,66,09,115","17,98,68,14,048.60","3,22,045"
"13-Feb-2024","EQ","1,051.00","1,075.55","1,044.80","1,046.70","1,070.60","1,070.75","1,063.39","1,151.85","814.30","84,13,609","8,94,69,47,169.40","2,22,013"
"12-Feb-2024","EQ","1,051.40","1,057.25","1,035.35","1,051.40","1,047.00","1,046.70","1,047.27","1,151.85","814.30","86,94,379","9,10,53,81,172.30","2,13,483"
"09-Feb-2024","EQ","1,039.95","1,054.90","1,034.55","1,035.90","1,052.60","1,051.40","1,046.39","1,151.85","814.30","82,33,454","8,61,53,86,873.55","2,45,062"
"08-Feb-2024","EQ","1,072.00","1,075.60","1,031.65","1,069.10","1,036.90","1,035.90","1,043.39","1,151.85","814.30","98,69,141","10,29,73,86,835.70","2,72,590"
"07-Feb-2024","EQ","1,061.05","1,073.70","1,057.50","1,050.05","1,072.00","1,069.10","1,067.49","1,151.85","814.30","72,81,793","7,77,32,07,507.55","2,18,920"
"06-Feb-2024","EQ","1,061.55","1,065.10","1,048.20","1,061.50","1,053.00","1,050.05","1,054.50","1,151.85","814.30","80,11,171","8,44,77,59,890.10","2,00,742"
"05-Feb-2024","EQ","1,067.05","1,079.50","1,058.00","1,067.05","1,059.20","1,061.50","1,068.12","1,151.85","814.30","1,25,69,454","13,42,56,87,174.35","2,67,496"
"02-Feb-2024","EQ","1,088.05","1,096.20","1,065.00","1,084.25","1,067.70","1,067.05","1,078.73","1,151.85","814.30","86,67,415","9,34,97,78,291.60","2,62,152"
"01-Feb-2024","EQ","1,072.65","1,087.65","1,056.80","1,067.75","1,083.45","1,084.25","1,073.44","1,151.85","814.30","97,56,682","10,47,32,26,767.75","2,13,721"
"31-Jan-2024","EQ","1,048.20","1,084.10","1,042.70","1,054.10","1,067.50","1,067.75","1,068.90","1,151.85","814.30","1,26,00,390","13,46,85,19,443.45","3,03,223"
"30-Jan-2024","EQ","1,060.05","1,070.45","1,050.80","1,061.25","1,053.50","1,054.10","1,057.78","1,151.85","814.30","94,26,983","9,97,16,98,908.40","3,25,034"
"29-Jan-2024","EQ","1,036.00","1,068.00","1,036.00","1,042.25","1,060.85","1,061.25","1,058.12","1,151.85","814.30","1,11,88,604","11,83,89,09,653.55","2,05,125"
"25-Jan-2024","EQ","1,058.00","1,063.70","1,025.80","1,059.15","1,050.10","1,042.25","1,037.96","1,151.85","814.30","2,08,35,434","21,62,63,12,133.15","3,93,518"
"24-Jan-2024","EQ","1,034.80","1,073.20","1,020.90","1,089.25","1,059.60","1,059.15","1,050.55","1,151.85","814.30","2,08,84,046","21,93,96,93,940.10","3,81,021"
"23-Jan-2024","EQ","1,125.90","1,141.60","1,078.80","1,121.00","1,082.00","1,089.25","1,101.48","1,151.85","814.30","1,89,24,087","20,84,45,33,168.65","2,98,496"
"20-Jan-2024","EQ","1,121.00","1,126.45","1,102.80","1,116.55","1,118.10","1,121.00","1,115.57","1,151.85","814.30","50,55,594","5,63,98,82,327.70","1,13,131"
